"General Note","Genre","Author Id","Work Id","work_name","Edition Details","binding_book","volume","Edition Id","more_information","Type","Manually changed"
"","פרוזה","66","496","צַוָּאָה","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","501","בימות החמה","","עוללות","","66-3","","סיפור","false"
"","פרוזה","164","503","הַשְמוּעָה","","סיפורי אהבה","","164-5","","סיפור","false"
"","פרוזה","44","504","בעמק הבכא","ע“פ מהדורת “כל כתבי מנדלי מו”ס”, ספרית מעריב דביר 1958","","","","","ספר","false"
"","פרוזה","66","523","מכאן ומכאן","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","530","רשמי דרך","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","535","המוצא","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","541","הקהל דורש","","עוללות","","66-3","","סיפור","false"
"","פרוזה","154","542","הגזלן","","","","","","ספר","false"
"","פרוזה","66","543","מצווה","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","69","545","עלבונם של כלים","","סיפורים בלתי-מקובצים","","69-1","נאספים לראשונה בפרויקט בן-יהודה","סיפור","false"
"","פרוזה","186","552","בשעה מוצלחת","","","","","","ספר","false"
"","פרוזה","66","557","בנשף","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","559","חידושים","","עוללות","","66-3","","סיפור","false"
"","פרוזה","3","560","שלושה סיפורים קטנים","","שירים וסיפורים","","3-1","תל אביב: הוצאת קרני","סיפור","false"
"","פרוזה","66","598","פעמיים","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","600","אל המטרה","","עוללות","","66-3","","סיפור","false"
"","פרוזה","76","608","מעשה הנזירה","","כל כתבי ש. בן־ציון","","76-1","תל אביב: דביר, תש""ט","סיפור","false"
"","פרוזה","164","611","בבטן אמם","","בתחומה של עיר","","164-6","","סיפור","false"
"","פרוזה","142","647","מצוה","","","","","","ספר","false"
"","פרוזה","186","650","""יהודיה פתיה""","","","","","","ספר","false"
"","פרוזה","155","665","הַמִּתְיָאֵשׁ","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","164","666","מימי התלמוד – תִּקְוָה וָפַחַד","","מימי התלמוד","","164-7","","סיפור","false"
"","פרוזה","164","667","מעל כסאו","","צללים ואורות","","164-8","","סיפור","false"
"","פרוזה","8","687","מזמור בוקר לבן-זבולון","","בית הניצוץ (מראות ואגדות)","","8-1","","סיפור","false"
"","פרוזה","8","688","שֶׁלִי מַבִּיט בַּשְּׁחָקִים","","בית הניצוץ (מראות ואגדות)","","8-1","","סיפור","false"
"","פרוזה","10","691","שעה אחת","","שלש החלוצות","ד","10-1","","סיפור","true"
"","פרוזה","66","719","בחורף","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","725","נְכֵא–רוּחַ","","עוללות","","66-3","","סיפור","false"
"","פרוזה","155","727","הפקדון","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","66","736","עַוְלָה","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","737","ניחומים","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","747","תרעומת","","עוללות","","66-3","","סיפור","false"
"","פרוזה","164","749","לִפְלֵטָה","","במרחבי עיר","","164-3","","סיפור","false"
"","פרוזה","227","752","חַטַּאת הַכִּפּוּרִים","","","","","","ספר","false"
"","פרוזה","155","765","צירי צירי","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","186","776","מושך בעול","","","","","","ספר","false"
"","פרוזה","163","779","אח ואחות","","","","","תרגום חופשי מאת פסח קפלן; ורשה: תושיה, האחים שולדברג ושותפם, תרנ""ז 1897.","ספר","false"
"","פרוזה","95","784","קבורת חמור","","","","","","ספר","false"
"","פרוזה","142","790","פְּרֵמְיָה","","","","","","ספר","false"
"","פרוזה","66","799","הוא סיפר לעצמו","","עוללות","","66-3","","סיפור","false"
"","פרוזה","70","814","פעמים","","ביהודה החדשה – קבץ ציורים","חלק שני","70-2","","סיפור","false"
"","פרוזה","66","815","בלילי קיץ","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","164","823","מְגַלֶּה סוֹד","","אישים","","164-9","","סיפור","false"
"","פרוזה","218","824","איש ואיש ומקסם כזבו","","","","","","ספר","false"
"","פרוזה","66","856","הגאולה והתמורה","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","866","נדודים","","מעמק עכור","","66-1","","סיפור","false"
"","פרוזה","66","869","שכול וכשלון או ספר־ההתלבטות","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","873","לֹא כְלוּם","","זעיר שם","","66-2","","סיפור","false"
"","פרוזה","66","876","הוא אמר לה","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","877","שלושה פרקים","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","886","בין מים למים","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","887","ערב ובוקר","","עוללות","","66-3","","סיפור","false"
"","פרוזה","66","888","העששית העשנה","","עוללות","","66-3","","סיפור","false"
"","פרוזה","132","899","מעשה בשלוש פרוטות","","חזיונות והרהורים","כרך ראשון","132-1","","סיפור","true"
"","פרוזה","231","904","עַל-מָה לָבַשׁ מַטֵּה-הַשּׁוֹשַנִים אֶת חוֹחָיו?","","","","","","ספר","false"
"","פרוזה","178","905","על קבר רעיה","","סיפורים","","178-1","תל-אביב: ד. רכגולד, תש""ם 1980","סיפור","false"
"","פרוזה","44","926","בסתר רעם","","ספורים קטנים","","44-1","","סיפור","false"
"","פרוזה","164","939","מזה ומזה","","בתחומה של עיר","","164-6","","סיפור","false"
"","פרוזה","186","948","אירע","","","","","","ספר","false"
"","פרוזה","154","950","יותם בן-שפט","","","","","","ספר","false"
"","פרוזה","6","957","אהבת ציון","","","","","","ספר","false"
"","פרוזה","3","958","הטבעת","","שירים וסיפורים","","3-1","תל אביב: הוצאת קרני","סיפור","false"
"","פרוזה","164","962","הַקַּדִּישׁ, אוֹ: שְׁנֵי רְחוֹקִים","","עיירות","","164-10","","סיפור","false"
"","פרוזה","155","978","ה""עושׂה-נפלאות""","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","982","מסירות נפש","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","984","טוב","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","985","הציץ ונפגע","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","989","כיצד מתגלין","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","990","נטה ממסילתו","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","992","וֶנוּס ושוּלמית","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","993","פוחת והולך","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","996","מקטרתו של הרבי","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","998","גלמוד","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","999","קל-וחומר של בן-בקר","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1002","הוּא וָהִיא","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1003","לא תחמוד","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","1004","רוחות מספרות","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1005","בֵּין הַמְּצָרִים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1006","הקוראת","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1007","בין שני הרים","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1008","הבּאר המאוֹררת","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1009","שלוש מתנות","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1012","בקרון הדואר","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1015","עיר המתים","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1017","הכלונס","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","76","1018","הסער מתחולל","","סיפורים","","76-2","","סיפור","false"
"","פרוזה","155","1019","שני עצים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1020","משני עברי הדלת","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1023","תמונות מעולם-התוהו","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1024","בשעת-נעילה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1025","הגבור שמעיה","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1027","ר' בֶּריל","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1033","מנדל בריינה'ס","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1035","העופות והגוילים","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1037","ציורי מסע","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1038","מַנְגִינוֹת הַזְמָן","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1040","פטירת המנגן","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1041","הנדיב","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1042","אַמַת המים","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1045","העונש","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1046","ארבעה דורות","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1052","בתולה נישׂאת","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1054","דודי שכנא ודודתי יחנא","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1055","שמע ישראל","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","1056","שָׁלש קְרִיאוֹת","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1059","נגוּן חדש","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1060","ספורים של עץ","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1061","מִסִּפּוּרֵי הַלְּבָנָה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1063","המדור השמיני בגיהנום","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1064","מוסר","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1066","המלמד מחלם","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1067","החדרה, שקצים!","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1071","""שלום בית""","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1073","המחשבה והכנור","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1074","בּונצי שתוֹק","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1076","למראשותיו של גוסס","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1079","הבריאה המשונה","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1080","המשוּלח","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1081","בִּמְעוֹן קַיִץ","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1083","סדר של כלבים","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1084","האשה מרת חנה","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1085","בבצה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1089","שהשׂמחה במעונו","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1090","ברכת הגומל","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1091","חֲזוֹן-אֵם","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1093","יצא זכאי","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1094","שומרת האש הקדושה בהיכל","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1095","משנת חסידים","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1097","צללי אור","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1098","הֻלֶּדֶת מֹשֶׁה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1099","נחת מבנים","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1103","עינים מושפלות","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1104","עסקי קהל","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1105","מוסר של עששית","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1106","חיים-יונה וויטלס","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1107","תמונות קטנות","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1109","פסוקי דזמרא או יוחנן שואב-המים וה""אורח-חיים""","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","1110","מאן דיהיב חיי יהיב מזוני","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1111","אחיות","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1112","קללת שכיב-מרע","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1113","זאבי מים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1114","מי אנוכי?","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1115","זוּג מסַפּר","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1117","התאוה לבגדים","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1118","חלומות של תרנגולת","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1120","שיחת חסידים","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1121","אם לא למעלה מזה","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1123","הירושה (במקום הקדמה)","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1124","גלגולו של נגון","","חסידות","","155-6","","סיפור","false"
"","פרוזה","155","1125","מנורת החנוכה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1126","אַרְבַּע אֲבָנִים טוֹבוֹת","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","164","1130","נִסִים וְנִפְלָאוֹת","","מימי הקבלה והחסידות","","164-11","","סיפור","false"
"","פרוזה","171","1149","חָנוּן הַצּוֹרְפִי","","בְּיָמִים מִקֶּדֶם","","171-1","ע“פ “כתבי ח”א זוטא: ישנים וגם חדשים” הוצאת טל-חרמון, ירושלים תרצ""א","סיפור","false"
"","פרוזה","142","1167","בַּיָּעַר","","","","","","ספר","false"
"","פרוזה","142","1168","עיר המקלט","","","","","","ספר","false"
"","פרוזה","155","1176","אימתי פרץ העץ העתיק בצחוק","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1178","שבת שהושבתה","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1179","נסים על הים","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","1181","הקדמה לנשמות אילמות: שני דרכים, שני משלים","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","69","1209","פרחי ליל","","היאור הירוק","","69-2","תל אביב : מ' ניומן, תש""ז 1947","סיפור","false"
"","פרוזה","10","1216","בְּצֵל טַחֲנַת הָרוּחַ","","שלש החלוצות","ד","10-1","","סיפור","true"
"","פרוזה","155","1218","המלאך","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1219","אשת חבר","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1221","ליל זועה","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1228","שׂיחת מתים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","89","1231","אלוף בצלות ואלוף שום","","מֵאֲגָדוֹת הַמֶּלֶךְ שְׁלֹמֹה","","89-1","","סיפור","false"
"","פרוזה","231","1239","זְבוּב הַזָּהָב וּמַסָּעָיו בַּמֶרְחַקִּים","","","","","","ספר","false"
"","פרוזה","76","1253","על המשמר","","סיפורים","","76-2","","סיפור","false"
"","פרוזה","164","1257","מימי בית ראשון: אחרי ימי שלמה","","משלושה מועדים","","164-12","","סיפור","false"
"","פרוזה","186","1282","זכרונות תוגה","","","","","","ספר","false"
"","פרוזה","163","1285","דבורה: אגדה","","","","","תרגום חופשי מאת פסח קפלן; פיטרקוב: תושיה, תרנ""ט.","ספר","false"
"","פרוזה","95","1289","הירושה: כרך ראשון","","הירושה (רומן)","","95-1","","סיפור","false"
"","פרוזה","237","1292","הנערה הקטנה עם עצי הגפרית","","","","","","ספר","false"
"","פרוזה","237","1294","הארגז המעופף","","","","","","ספר","false"
"","פרוזה","186","1297","נגד הזרם","","","","","","ספר","false"
"","פרוזה","70","1309","במדרון","","","","","","ספר","false"
"","פרוזה","164","1313","צַדִּיקִים וַחֲסִידִים","","מימי הקבלה והחסידות","","164-11","","סיפור","false"
"","פרוזה","164","1314","בְּמֶרְחֲבֵי עִיר","","במרחבי עיר","","164-3","","סיפור","false"
"","פרוזה","239","1315","הצלב","","","","","","ספר","false"
"","פרוזה","155","1318","כרת","","חסידות","","155-6","","סיפור","false"
"","פרוזה","89","1351","ר' בָּרוּךְ אֵידֶלְמַן","","סיפורים מן העזבון","","89-3","סיפורים וקטעי פרוזה מעזבונו של ביאליק, כפי שקובצו ע""י משה אונגרפלד ונדפסו בקובץ “כתבים גנוזים” בהוצאת בית ביאליק והוצאת דביר.","סיפור","false"
"","פרוזה","132","1355","מַחֶזְיוֹנוֹת אֲבִיזוֹהַר: הַזַיִת וְהַחַשְׁמַל","","חזיונות והרהורים","כרך ראשון","132-1","","סיפור","true"
"","פרוזה","155","1357","טוֹרקוַמַדַא שלנו","","במשכנות עוני","","155-2","","סיפור","false"
"","פרוזה","155","1358","חלומות של אשפה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1359","השושנה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1360","המקובלים","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1362","נעילה","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1363","האלמנה","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1364","יוסי בחור-הישיבה","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1365","הצטדקות הנאשם","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","231","1367","הָאֲרִי בֶּן-הַתַּרְבּוּת","","","","","","ספר","false"
"","פרוזה","178","1369","מיגואל","","","","","ורשה: תושיה, תרס""ז","ספר","false"
"","פרוזה","155","1382","כנפים","","משל ודמיון","","155-3","","סיפור","false"
"","פרוזה","155","1383","משפט אלמנה עם הרוח","","נשמות אילמות","","155-5","","סיפור","false"
"","פרוזה","155","1384","הקדיש","","שלום בית","","155-1","","סיפור","false"
"","פרוזה","155","1385","מעשה בר' יוחנן הגבאי","","מספורי יוחנן המלמד","","155-7","","סיפור","false"
"","פרוזה","155","1386","האוצר","","מפי העם","","155-4","","סיפור","false"
"","פרוזה","155","1387","נסים ונפלאות","","חסידות","","155-6","","סיפור","false"
"","פרוזה","186","1419","חזרה ונתעוררה","","","","","","ספר","false"
"","פרוזה","6","1432","עיט צבוע","","","","","","ספר","false"
"","פרוזה","237","1433","דָּבָר","","","","","","ספר","false"
"","פרוזה","76","1449","עולם קטן","","סיפורים","","76-2","","סיפור","false"
"","פרוזה","24","1452","בין אדם למקום","","ספר הבדיחה והחידוד ע""פ “ספר הבדיחה והחידוד”","כרך שני","24-1","הוצאת דביר, תל אביב 1963","סיפור","true"
"","פרוזה","164","1454","עניני חכמה וחזון","","מימי התלמוד","","164-7","","סיפור","false"
"","פרוזה","80","1468","חלוצי הגלות","","","","","","ספר","false"
"","פרוזה","171","1474","המשפט","","בְּיָמִים מִקֶּדֶם","","171-1","ע“פ “כתבי ח”א זוטא: ישנים וגם חדשים” הוצאת טל-חרמון, ירושלים תרצ""א","סיפור","false"
"","פרוזה","24","1482","בדחנים, ליצנים ומרדנים","","ספר הבדיחה והחידוד ע""פ “ספר הבדיחה והחידוד”","כרך שלישי","24-1","הוצאת דביר, תל אביב 1963","סיפור","true"
"","פרוזה","142","1493","איש ומקטרתו","","","","","","ספר","false"
"","פרוזה","116","1508","צאן קדושים","","וע“פ כתבים נבחרים, כרך א', הוצאת “חובבי הספרות”, וינה, תר”פ","","116-1","","סיפור","false"
"","פרוזה","164","1512","קרבן ופדות","","מסיפורי בראשית","","164-13","","סיפור","false"
"","פרוזה","80","1528","עפר חוצות","","סיפורים","","80-2","ג.  חלוצי הגלות","סיפור","false"
"","פרוזה","69","1529","הַיְאוֹר הַיָּרוֹק","","היאור הירוק","","69-2","תל אביב : מ' ניומן, תש""ז 1947","סיפור","false"
"","פרוזה","8","1533","הסוכה המבלה היכלות","","בית הניצוץ (מראות ואגדות)","","8-1","","סיפור","false"
"","פרוזה","10","1536","רִצְפָּה בַת אַיָּה","","תַּחַת שָׁמַיִם אֲדֻמִים: כל סיפורי המלחמה","","10-2","ע“פ מהדורת מסדה, תל אביב, תש”ד 1962. (פורסם לראשונה בשנת 1925)","סיפור","false"
"","פרוזה","76","1561","נפש רצוצה","","כל כתבי ש. בן־ציון","","76-1","תל אביב: דביר, תש""ט","סיפור","false"
"","פרוזה","186","1596","בשעת חירות","","","","","","ספר","false"
"","פרוזה","89","1598","שְׁלֹמה וּשְׁלֹשֶׁת הָאַחִים","","מֵאֲגָדוֹת הַמֶּלֶךְ שְׁלֹמֹה","","89-1","","סיפור","false"
"","פרוזה","89","1600","הַמֶּלֶך שְׁלֹמה וּמַלְכַּת שְׁבָא","","מֵאֲגָדוֹת הַמֶּלֶךְ שְׁלֹמֹה","","89-1","","סיפור","false"
"","פרוזה","30","1607","הקווצה","","ממרירות החיים: סיפורים וציורים","","30-1","פיטרקוב: תושיה, תר""ס 1900.","סיפור","false"
"","פרוזה","142","1610","סיני","","","","","","ספר","false"
"","פרוזה","70","1622","גוססת!","","ביהודה החדשה – קבץ ציורים","חלק ראשון","70-2","","סיפור","false"
